,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
    Anmore,4239,5294,3020,1927,3839,2832,7290,14781,12076,9864,8877,9209,12190,5525,6346,6658,13113
    Belcarra,351,520,213,1185,1095,953,800,10603,6016,9697,183,789,388,1803,472,1388,5360
    Bowen Island,3158,3723,5040,4187,6804,3536,11512,10297,10688,13227,9715,9489,11342,12421,9522,7641,13836
    Burnaby,153874,107679,111704,110946,135436,206351,345573,426590,377238,389909,350889,197865,363328,414823,371046,472233,518734
    Coquitlam,64743,56905,74624,41230,65943,53901,77213,117833,125319,163483,165740,150136,240560,328454,317097,357266,297474
    Delta,33726,25013,29729,31666,28206,34513,45824,61390,51307,52315,118055,109646,100342,134544,132688,162941,212252
    Langley City,3134,5621,18133,8639,16617,9126,17767,37472,22278,19372,29521,24758,34095,25132,10363,16336,8951
    Langley District,58088,77144,46596,45377,92231,122020,205491,197374,229276,205104,156113,158945,222102,220447,191906,197910,207114
    Lions Bay,747,617,965,1106,118,312,3358,491,1126,2327,2177,1231,3881,1027,628,1986,2777
    Maple Ridge,76871,57127,51226,55381,113387,86041,91735,93140,213344,139820,107543,76692,111748,106003,95678,123775,119248
    New Westminster,40034,12683,16335,20009,36244,74738,71360,124327,184035,147517,111932,56389,52512,124117,143141,153063,105150
    North Vancouver City,28507,29437,34870,23260,14807,51396,86416,94738,46056,153613,113742,28547,68668,121117,123121,73366,152749
    North Vancouver District,35796,30932,31805,47079,61921,50704,61554,76261,61418,106754,78606,65153,103737,120444,104999,165903,169232
    Pitt Meadows,14066,10407,8134,9828,6803,13781,23580,61044,45726,29915,64630,6270,2949,12063,20136,8468,30594
    Port Coquitlam,22498,33864,30375,46688,32854,35387,27151,52958,75085,116640,28793,18746,67222,26175,60444,66573,76550
    Port Moody,16626,13052,21285,28065,38207,48990,106487,55524,167247,103839,17345,5362,9729,7373,4213,5416,6961
    Richmond,86129,79982,83862,88585,207735,211075,246318,355014,414180,335792,181597,95305,662262,287904,363803,403022,387075
    Surrey,377669,443795,379610,471817,691402,815911,877220,867752,961445,1069464,975703,512205,806669,664565,713444,761347,701780
    University Endowment,3705,2424, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,-
    Vancouver,511602,482474,449598,702065,820908,763335,1121578,1023267,1051163,1433324,665687,779592,1018548,1121137,1529392,1557024,1410363
    West Vancouver,73538,52515,79239,65657,91554,110644,153102,220089,158056,189163,161146,93522,164853,222551,316424,251214,239349
    White Rock,17843,7308,13023,8814,24435,56281,31672,68233,29471,69411,33651,26343,31624,53205,74397,95264,70274
  Greater Vancouver RD,1626944,1538516,1489386,1813511,2490546,2751827,3613001,3969178,4242550,4760550,3381645,2426194,4088749,4010830,4589260,4888794,4748936
British Columbia,2717270,2591740,2403140,2829874,3888147,4514185,5868937,6978962,7620696,8611723,6899289,4491075,6705888,6113406,6711921,6892566,7347640
Canada,17945419,19957075,20342086,22619192,29586870,31971418,36833448,38743704,41052757,45547476,40878418,34708083,43471303,44479010,48408353,48427322,50991603
