january,detached,townhouse,apartment,sum
2010,892,266,152,1310
2011,745,254,183,1182
2012,704,295,165,1164
2013,720,320,190,1230
2014,695,283,172,1150
,,,,
february,detached,townhouse,apartment,sum
2010,1014,288,159,1461
2011,838,308,209,1355
2012,772,336,184,1292
2013,802,344,199,1345
2014,786,341,201,1328
,,,,
march,detached,townhouse,apartment,sum
2010,1133,343,181,1657
2011,872,305,202,1379
2012,850,369,205,1424
2013,871,388,222,1481
2014,848,377,201,1426
,,,,
april,detached,townhouse,apartment,sum
2010,1293,368,201,1862
2011,942,343,199,1484
2012,884,428,230,1542
2013,968,423,225,1616
2014,950,398,205,1553
,,,,
may,detached,townhouse,apartment,sum
2010,1455,377,211,2043
2011,931,364,223,1518
2012,951,446,248,1645
2013,1049,471,227,1747
2014,989,440,217,1646
,,,,
june,detached,townhouse,apartment,sum
2010,1320,327,213,1860
2011,889,381,233,1503
2012,939,434,250,1623
2013,1043,458,206,1707
2014,993,424,207,1624
,,,,
july,detached,townhouse,apartment,sum
2010,1226,322,218,1766
2011,934,381,223,1538
2012,993,439,256,1688
2013,1051,453,229,1733
2014,960,411,199,1570
,,,,
august,detached,townhouse,apartment,sum
2010,1131,320,225,1676
2011,943,357,208,1508
2012,993,426,230,1649
2013,1023,452,205,1680
2014,959,380,204,1543
,,,,
september,detached,townhouse,apartment,sum
2010,1057,327,222,1606
2011,934,375,219,1528
2012,996,421,227,1644
2013,1014,412,212,1638
2014,902,353,217,1472
,,,,
october,detached,townhouse,apartment,sum
2010,1023,298,179,1500
2011,953,366,225,1544
2012,935,402,229,1566
2013,877,362,183,1422
2014,857,364,218,1439
,,,,
november,detached,townhouse,apartment,sum
2010,912,274,200,1386
2011,840,337,205,1382
2012,851,379,206,1436
2013,820,334,177,1331
2014,753,335,216,1304
,,,,
december,detached,townhouse,apartment,sum
2010,790,248,195,1233
2011,621,244,154,1019
2012,627,281,152,1060
2013,714,296,173,1183
2014,563,240,158,961
