Year,Cloverdale,Fleetwood,Guildford,Newton,South Surrey,Whalley,City Centre,TOTAL
2004,42200,52310,55790,102910,67010,86240,20900,406460
2005,46110,53360,57450,107050,67800,86750,21360,418520
2006,51120,54580,58450,111230,68590,88430,22610,432400
2007,54610,55430,59250,113120,71120,92570,26180,446100
2008,57900,55980,59570,116220,74400,94090,27590,458160
2009,61030,56390,59670,118820,75290,94330,27570,465530
2010,63660,57190,60030,122040,77660,95260,28050,475840
2011,65480,58000,60360,125020,79290,96000,28420,484150
2012,67080,59090,60840,127630,81480,97310,29370,493430
2013,68460,59470,61480,129880,82830,99840,31860,501960
2014,69980,60080,61720,131660,84370,100230,31950,508040
